,kospi200,call,put,aggregate,real_vkospi,put_call_ratio,call_put_average_real
2020-10-22,313.77,12.66,18.12,22.15,22.54,1.124,0.8857142857142858
2020-10-21,315.76,13.03,17.05,21.49,21.88,0.862,0.9257425742574258
2020-10-20,314.71,12.51,17.86,21.81,22.18,0.977,0.9313725490196079
2020-10-19,312.59,12.75,18.07,22.12,22.51,0.938,0.8738317757009346
2020-10-16,311.83,12.22,17.8,21.6,22.03,1.307,0.9359605911330049
2020-10-15,313.92,12.89,16.49,20.97,21.47,1.17,0.855072463768116
2020-10-14,316.57,11.34,17.0,20.48,20.97,1.38,0.8756218905472637
2020-10-13,319.58,11.09,16.38,19.82,20.34,1.231,0.8407960199004973
2020-10-12,319.15,11.419660974076562,16.249365641012183,19.872277023908623,20.36,1.036,0.9424083769633507
2020-10-08,317.47,12.516981988764414,16.414747346264114,20.649168786029318,21.0,0.879,0.9896373056994819
2020-10-07,317.35,12.49,17.19,21.25,21.55,0.802,1.0
2020-10-06,314.45,12.5,18.16,22.05,22.29,0.944,0.9014778325123153
2020-10-05,313.51,14.38,18.76,23.68,23.87,0.616,0.9417040358744394
2020-09-29,309.44,13.51,19.84,24.0,24.15,0.912,0.9132653061224488
2020-09-28,307.03,14.11,20.5,24.89,25.01,0.92,0.9609756097560975
2020-09-25,303.57,15.2,21.1,26.02,26.13,1.366,0.9324324324324325
2020-09-24,302.48,14.81,22.71,27.14,27.21,1.772,0.8658536585365854
2020-09-23,309.64,14.39,19.84,24.53,24.64,1.48,0.9345794392523366
2020-09-22,308.82,14.34,20.53,25.04,25.2,1.752,0.8412017167381974
2020-09-21,315.89,13.62,18.69,23.13,23.31,1.153,0.9261083743842364
2020-09-18,318.39,12.89,16.99,21.35,21.59,1.139,0.9834254143646408
2020-09-17,318.0,12.42,18.25,22.08,22.31,1.76,0.8398058252427184
2020-09-16,322.31,11.55,17.24,20.79,21.05,0.905,0.8789473684210526
2020-09-15,323.36,12.12,16.74,20.67,20.97,0.776,0.8608247422680413
2020-09-14,320.98,12.48,16.85,20.97,21.28,0.725,0.8826530612244897
2020-09-11,316.45,12.87,16.93,21.29,21.68,1.229,0.9230769230769231
2020-09-10,316.53,12.78,17.58,21.75,22.14,0.758,0.8905472636815919
2020-09-09,313.77,13.83,19.87,24.22,24.73,1.081,0.8142292490118578
2020-09-08,317.38,13.16,19.42,23.47,23.87,0.809,0.8798283261802575
2020-09-07,313.67,14.77,20.82,25.53,25.85,1.06,0.8154981549815499
2020-09-04,312.03,15.96,22.49,27.6,27.83,1.237,0.7323943661971831
2020-09-03,316.43,15.0,20.0,25.02,25.3,0.62,0.8242677824267782
2020-09-02,311.5,15.45,20.9,26.02,26.26,1.139,0.9214876033057852
2020-09-01,309.81,15.18,22.83,27.42,27.59,0.913,0.9691119691119692
2020-08-31,307.14,15.08,23.09,27.59,27.77,1.496,0.8659420289855071
2020-08-28,312.24,14.49,21.83,26.21,26.4,0.963,0.9832635983263599
2020-08-27,311.38,15.35,22.24,27.06,27.22,1.256,0.8296296296296296
2020-08-26,314.19,14.33,20.75,25.23,25.44,1.25,0.875
2020-08-25,313.59,13.94,20.0,24.4,24.63,0.841,0.9692982456140351
2020-08-24,309.33,15.56,21.14,26.26,26.44,0.881,1.0464135021097047
2020-08-21,306.16,14.27,22.58,26.71,26.89,0.92,0.9876543209876543
2020-08-20,301.59,15.39,23.34,27.97,28.18,2.025,0.9038461538461539
2020-08-19,313.54,14.17,19.47,24.1,24.38,1.276,0.9013452914798207
2020-08-18,312.84,14.2,20.48,24.92,25.21,1.306,0.937219730941704
2020-08-14,319.24,12.35,18.46,22.25,22.58,1.075,0.873170731707317
2020-08-13,323.33,13.1,17.37,21.77,22.12,0.649,0.9137055837563453
2020-08-12,322.68,12.93,18.46,22.53,22.86,0.782,0.868020304568528
2020-08-11,321.02,13.8,17.91,22.63,22.98,0.405,0.905829596412556
2020-08-10,316.77,13.11,18.44,22.64,22.94,0.492,0.9732142857142858
2020-08-07,312.57,12.83,17.57,21.76,22.07,0.878,0.8142857142857144
2020-08-06,311.32,14.01,16.56,21.74,22.06,0.428,0.9554455445544555
2020-08-05,306.64,12.24,17.38,21.28,21.58,0.639,0.9289340101522844
2020-08-04,303.04,13.22,17.79,22.17,22.42,0.665,0.908653846153846
2020-08-03,299.46,12.79,19.47,23.31,23.52,1.174,0.8705357142857143
2020-07-31,299.32,12.99,19.43,23.38,23.57,1.129,0.9333333333333333
2020-07-30,301.85,12.58,18.9,22.72,22.91,0.862,0.908653846153846
2020-07-29,301.25,14.17,18.2,23.11,23.33,0.64,0.9162790697674418
2020-07-28,300.13,12.69,18.81,22.7,22.92,0.565,0.8
2020-07-27,293.51,13.06,18.55,22.71,22.96,0.719,0.97
2020-07-24,290.66,12.74,18.18,22.21,22.5,1.128,0.8663366336633663
2020-07-23,292.37,11.78,17.01,20.7,21.0,1.447,0.8691099476439791
2020-07-22,294.04,11.49,16.98,20.52,20.82,0.828,0.9398907103825136
2020-07-21,295.16,12.34,16.69,20.76,21.09,0.641,0.88659793814433
2020-07-20,290.81,13.21,17.61,22.04,22.37,0.989,0.9104477611940298
2020-07-17,291.57,12.15,18.32,22.0,22.34,0.921,0.9253731343283582
2020-07-16,289.25,12.65,19.35,23.14,23.48,1.101,0.9009433962264152
2020-07-15,292.27,13.57,18.92,23.28,23.63,0.615,0.9431279620853079
2020-07-14,289.63,13.54,19.88,24.06,24.45,1.059,0.9144144144144145
2020-07-13,289.84,13.462841697077469,18.977530544392458,23.26808424222026,23.63,0.777,0.9255813953488371
2020-07-10,285.06,13.603829159739067,20.49564065269976,24.603385627609516,24.83,1.363,0.8728070175438596
2020-07-09,287.25,13.872851828156508,18.55520297699409,23.16803329951987,23.38,0.684,0.995169082125604
2020-07-08,285.97,13.26,21.07,24.93,25.04,1.157,1.0142857142857142
2020-07-07,286.77,14.03,20.37,24.74,24.85,1.001,1.1592039800995024
2020-07-06,290.62,14.0,19.49,24.01,24.02,0.566,0.9069767441860465
2020-07-03,285.89,14.26,20.06,24.65,24.78,0.827,1.0188679245283019
2020-07-02,283.86,15.35,22.63,27.36,27.45,1.098,0.8370370370370371
2020-07-01,280.26,16.0,25.22,29.87,29.9,1.257,0.880701754385965
2020-06-30,280.09,16.94,26.02,31.06,31.07,0.991,1.0433212996389891
2020-06-29,278.04,17.46,28.71,33.62,33.58,1.369,1.0
2020-06-26,283.38,16.3,25.9,30.6,30.56,1.005,0.8736842105263157
2020-06-25,279.73,18.31,27.46,33.05,33.12,1.414,0.8778135048231511
2020-06-24,286.7,16.51,25.32,30.26,30.2,0.577,0.9597069597069596
2020-06-23,281.94,16.32,27.28,31.8,31.73,1.207,0.9928571428571429
2020-06-22,281.42,18.69,28.48,34.08,34.03,1.042,0.8878504672897196
2020-06-19,283.37,18.26,28.74,34.05,34.04,1.178,0.9260450160771704
2020-06-18,281.91,19.93,31.57,37.35,37.3,1.281,1.0
2020-06-17,283.02,19.43,31.58,37.08,37.05,1.293,0.9205882352941177
2020-06-16,282.59,19.72,29.85,35.79,35.9,0.829,0.7863247863247863
2020-06-15,267.95,20.53,33.31,39.16,39.69,1.592,0.8057742782152231
2020-06-12,281.78,16.9,27.89,32.66,32.88,1.542,0.7341772151898733
2020-06-11,288.62,15.74,21.34,26.55,26.79,1.28,0.7695312499999999
2020-06-10,291.9,15.87,20.27,25.75,26.06,0.698,0.913978494623656
2020-06-09,291.32,16.09,20.72,26.23,26.53,1.016,0.9207920792079207
2020-06-08,290.77,16.63,21.53,27.2,27.4,0.874,1.0031746031746032
2020-06-05,290.62,15.69,19.7,25.2,25.45,0.605,1.153846153846154
2020-06-04,286.45,15.48,20.16,25.45,25.69,0.873,0.9568345323741008
2020-06-03,285.91,15.44,20.32,25.53,25.74,0.388,0.98828125
2020-06-02,276.08,13.87,20.42,24.69,25.0,0.606,0.8339920948616601
2020-06-01,273.19,13.64,20.49,24.62,24.94,0.657,0.8685258964143426
2020-05-29,268.32,12.97,21.74,25.32,25.64,1.104,0.7121212121212122
2020-05-28,268.29,13.63,21.19,25.2,25.24,0.903,0.8734177215189873
2020-05-27,267.64,12.5,20.94,24.4,24.47,0.721,0.8076923076923077
2020-05-26,267.31,13.07,19.71,23.69,23.8,0.585,0.7878787878787878
2020-05-25,262.76,13.14,21.47,25.18,25.27,1.09,0.8874458874458874
2020-05-22,259.62,13.78,23.99,27.71,27.74,1.619,0.7576923076923077
2020-05-21,263.74,13.36,19.19,23.41,23.57,0.785,0.8513513513513513
2020-05-20,262.72,13.27,20.87,24.75,24.85,0.755,0.8354430379746836
2020-05-19,261.79,13.62,20.84,24.92,25.0,0.823,0.8995633187772927
2020-05-18,255.44,15.19,22.18,26.91,27.04,1.108,0.9369747899159664
2020-05-15,253.79,14.88,22.19,26.75,26.96,1.454,0.8612244897959185
2020-05-14,253.65,13.92,22.63,26.57,26.79,1.174,0.7499999999999999
2020-05-13,255.85,14.21,20.85,25.25,25.75,0.81,0.9527896995708154
2020-05-12,253.37,14.51,23.23,27.39,27.79,1.656,0.8222996515679443
2020-05-11,254.95,14.41,25.21,29.06,29.33,1.367,0.8111888111888111
2020-05-08,256.62,14.35,24.78,28.67,28.77,0.844,0.8705882352941177
2020-05-07,254.46,15.44,27.19,31.3,31.31,1.044,0.7952218430034129
2020-05-06,255.0,16.71,27.08,31.83,31.81,1.409,0.9236111111111112
2020-05-04,250.6,18.78,31.13,36.36,36.36,1.788,0.7891737891737891
2020-04-29,258.15,16.28,25.93,30.63,30.51,0.876,0.8409090909090909
2020-04-28,256.39,17.67,27.56,32.76,32.64,1.275,0.8206896551724138
2020-04-27,254.84,18.09,30.35,35.33,35.15,0.982,0.8677419354838709
2020-04-24,250.28,18.91,32.49,37.6,37.54,1.465,0.8141592920353983
2020-04-23,253.74,18.26,29.43,34.65,34.46,0.987,0.9593220338983051
2020-04-22,251.88,20.1,30.63,36.67,36.55,1.354,0.8338192419825075
2020-04-21,249.4,18.06,31.81,36.63,36.53,2.036,0.8580060422960725
2020-04-20,252.14,17.33,28.42,33.34,33.29,1.37,0.861842105263158
2020-04-17,255.02,16.93,26.56,31.5,31.44,0.827,0.897887323943662
2020-04-16,247.1,18.44,29.52,34.8,34.82,1.421,0.9543973941368079
2020-04-14,247.45,18.66,30.7,35.93,36.04,1.167,0.8854489164086689
2020-04-13,243.4,21.027393429722782,33.56911442879571,39.61107065678096,39.69,1.438,0.8465753424657534
2020-04-10,248.0,18.713403913729426,30.747228198322407,35.996127673995765,35.84,1.089,0.8493975903614457
2020-04-09,245.61,19.56893768832977,29.88459480863109,35.72165564089447,35.55,0.988,0.8986928104575163
2020-04-08,241.89,21.25,34.24,40.31,40.05,1.046,0.9351620947630922
2020-04-07,244.87,20.67,30.25,36.64,36.14,0.996,0.9877450980392157
2020-04-06,240.81,22.61,31.82,39.04,38.26,0.777,0.9020833333333332
2020-04-03,231.7,23.92,38.3,45.17,45.34,1.332,0.9434782608695652
2020-04-02,231.84,26.56,38.59,46.88,47.24,1.254,0.946058091286307
2020-04-01,226.35,27.39,40.82,49.16,50.0,1.686,0.8513274336283186
2020-03-31,236.82,26.82,40.49,48.58,48.55,1.323,0.8875968992248061
2020-03-30,232.45,30.67,44.97,54.44,54.83,1.145,0.8090225563909774
2020-03-27,233.79,30.0,45.47,54.49,54.62,1.356,1.039855072463768
2020-03-26,229.34,31.05,41.92,52.17,52.76,1.097,0.9292929292929294
2020-03-25,232.89,28.33,40.29,49.25,49.32,0.773,0.9866156787762907
2020-03-24,220.34,32.51,41.35,52.6,53.78,0.808,1.0181488203266789
2020-03-23,201.87,36.38,45.08,57.95,62.5,1.955,0.8648275862068966
2020-03-20,213.67,37.21,42.59,56.58,60.73,1.835,1.1941391941391941
2020-03-19,199.28,44.63,48.26,65.74,69.24,2.706,0.9383647798742137
2020-03-18,215.83,37.74,45.16,58.88,62.8,2.283,0.7841059602649006
2020-03-17,226.89,41.07,47.34,62.67,64.49,2.233,0.8739495798319327
2020-03-16,232.97,40.08,45.81,60.87,64.56,1.98,0.8298755186721992
2020-03-13,240.65,35.06,40.09,53.28,53.86,2.453,1.0162162162162163
2020-03-12,247.62,27.31,32.01,42.11,43.07,2.433,0.7464212678936606
2020-03-11,257.01,22.0,31.48,38.44,37.6,1.987,0.8596059113300492
2020-03-10,264.67,20.62,28.88,35.49,34.8,1.327,0.9815242494226328
2020-03-09,263.11,21.85,29.72,36.89,36.21,2.786,0.8085106382978723
2020-03-06,275.1,15.73,23.14,27.99,27.47,1.828,0.7583081570996979
2020-03-05,281.38,14.75,18.86,23.97,23.66,1.018,0.8339768339768341
2020-03-04,278.13,16.06,22.08,27.31,26.76,1.035,0.882943143812709
2020-03-03,271.56,16.68,25.2,30.23,29.49,1.555,0.963076923076923
2020-03-02,270.37,19.81,27.05,33.53,32.66,1.528,0.9595687331536388
2020-02-28,268.02,20.96,27.53,34.61,33.81,2.056,0.8992248062015502
2020-02-27,277.09,15.97,22.29,27.42,26.84,1.676,0.9614035087719298
2020-02-26,279.94,15.12,20.64,25.59,25.1,1.429,0.8996282527881041
2020-02-25,284.24,13.23,18.89,23.09,22.72,1.397,0.9369747899159664
2020-02-24,281.02,14.35,19.22,24.03,23.65,2.234,0.9224489795918368
2020-02-21,292.42,11.49,16.35,19.99,19.8,1.506,0.8067632850241546
2020-02-20,296.65,11.07,14.61,18.34,18.24,1.378,1.0
2020-02-19,298.33,12.04,13.65,18.25,18.19,1.23,0.9444444444444444
2020-02-18,297.74,11.56,14.19,18.31,18.25,1.487,0.901098901098901
2020-02-17,302.76,11.13,13.02,17.14,17.16,0.839,0.9235294117647058
2020-02-14,303.01,10.98,12.61,16.75,16.85,0.76,0.9329268292682928
2020-02-13,300.93,10.32,12.94,16.56,16.68,0.754,0.8224852071005918
2020-02-12,301.54,10.14,13.37,16.79,16.95,0.722,0.8860103626943006
2020-02-11,299.28,11.24,14.14,18.06,18.16,0.578,0.9665071770334929
2020-02-10,296.24,10.26,15.0,18.21,18.22,1.165,0.8608695652173913
2020-02-07,298.21,10.96,13.65,17.52,17.53,1.207,0.8010204081632653
2020-02-06,300.65,9.8,14.84,17.85,17.81,0.579,0.9137055837563453
2020-02-05,292.02,10.48,14.83,18.21,18.23,1.266,0.8476190476190476
2020-02-04,290.68,11.62,14.31,18.47,18.39,0.814,0.9261083743842364
2020-02-03,285.05,11.54,15.62,19.43,19.32,1.475,0.8416289592760181
2020-01-31,284.53,11.15,15.97,19.48,19.29,1.54,0.9057591623036649
2020-01-30,288.37,11.23,14.72,18.53,18.38,2.291,0.7828282828282828
2020-01-29,293.98,9.63,14.04,17.06,16.99,1.19,0.8636363636363635
2020-01-28,292.77,11.62,14.31,18.44,18.32,2.601,0.9057591623036649
2020-01-23,302.33,9.68,11.73,15.21,15.3,1.634,0.9403973509933775
2020-01-22,306.08,8.3,11.42,14.16,14.29,0.738,0.9571428571428572
2020-01-21,302.11,8.57,11.4,14.28,14.41,1.489,0.8413793103448275
2020-01-20,305.58,9.22,9.68,13.42,13.64,0.752,0.9767441860465116
2020-01-17,303.3,8.9,9.82,13.31,13.6,0.955,0.924812030075188
2020-01-16,302.78,8.86,9.85,13.25,13.58,0.819,0.9111111111111112
2020-01-15,299.74,8.41,9.89,12.99,13.37,1.391,0.9242424242424242
2020-01-14,301.53,7.91,10.29,13.01,13.41,0.749,0.9318181818181819
2020-01-13,300.13,8.717591330790366,9.459474876238108,12.87239392589491,13.26,0.75,0.9389312977099238
2020-01-10,297.06,8.13826701471191,9.537497520903134,12.538237971108751,12.81,0.913,0.9359999999999999
2020-01-09,294.41,8.690766097330126,10.195060816070916,13.399175289608904,13.58,0.837,0.9545454545454546
2020-01-08,289.42,9.7,12.79,16.06,15.97,1.272,0.8071065989847717
2020-01-07,291.23,9.22,11.97,15.13,15.08,0.672,1.0061349693251533
2020-01-06,288.43,9.29,13.14,16.14,15.88,1.336,0.893048128342246
2020-01-03,290.74,10.93,11.6,15.99,15.88,1.192,0.9047619047619047
2020-01-02,290.35,10.48,11.37,15.48,15.4,1.56,0.8834355828220859
2019-12-30,293.77,9.47,11.36,14.8,14.69,0.93,1.1093749999999998
2019-12-27,295.2,10.03,10.09,14.26,14.13,0.62,1.084033613445378
2019-12-26,294.06,9.95,10.15,14.24,14.15,0.979,1.146551724137931
2019-12-24,292.9,8.58,10.83,13.86,13.81,1.2,0.9916666666666667
2019-12-23,294.87,9.15,10.51,14.0,13.97,0.971,1.057377049180328
2019-12-20,295.31,7.82,10.32,13.0,13.08,0.948,1.0
2019-12-19,294.31,8.39,9.99,13.09,13.2,0.918,1.0782608695652174
2019-12-18,294.22,8.71,9.41,12.85,13.01,0.901,1.0170940170940173
2019-12-17,294.4,8.43,9.67,12.87,13.05,0.624,1.0338983050847457
2019-12-16,289.76,7.83,10.4,13.07,13.27,0.9,1.103448275862069
2019-12-13,290.11,8.01,10.01,12.83,13.12,0.658,1.1327433628318584
2019-12-12,285.11,7.8,10.46,13.06,13.39,0.534,1.0588235294117647
2019-12-11,280.28,8.04,10.03,12.86,13.4,0.779,1.1705426356589146
2019-12-10,279.31,8.79,9.26,12.82,13.33,0.942,0.9403973509933775
2019-12-09,278.03,8.03,10.49,13.22,13.61,0.787,0.839080459770115
2019-12-06,276.56,8.99,10.1,13.56,13.91,0.705,0.9463087248322147
2019-12-05,273.3,9.26,10.85,14.27,14.55,1.337,1.152777777777778
2019-12-04,274.15,9.49,10.35,14.1,14.37,1.425,1.0486111111111112
2019-12-03,276.19,8.72,10.91,14.0,14.26,1.339,0.8888888888888888
2019-12-02,277.44,8.16,10.99,13.71,13.96,1.096,0.986111111111111
2019-11-29,276.78,8.03,11.12,13.76,13.96,1.782,1.0859375
2019-11-28,281.23,8.9,10.17,13.55,13.77,1.219,1.0703124999999998
2019-11-27,282.85,8.5,10.65,13.64,13.85,1.247,0.9285714285714286
2019-11-26,281.83,8.72,10.99,14.04,14.21,0.914,1.1984126984126984
2019-11-25,282.19,8.36,10.84,13.72,13.91,0.768,1.0150375939849623
2019-11-22,279.43,9.04,10.23,13.66,13.88,1.077,0.9776119402985074
2019-11-21,278.28,9.28,10.87,14.32,14.52,1.782,0.8904109589041096
2019-11-20,282.21,8.6,10.9,13.89,14.11,1.484,0.9632352941176471
2019-11-19,286.23,8.92,9.7,13.24,13.52,1.116,0.8823529411764706
2019-11-18,287.18,8.53,9.85,13.05,13.34,1.209,0.9230769230769231
2019-11-15,287.29,8.16,9.8,12.77,13.11,0.75,0.9840000000000001
2019-11-14,283.93,7.47,10.65,13.07,13.42,0.806,0.8666666666666666
2019-11-13,281.28,7.91,10.82,13.43,13.85,1.411,1.0588235294117647
2019-11-12,283.65,7.59,10.8,13.25,13.65,0.941,0.9072847682119205
2019-11-11,280.85,9.4,10.13,13.88,14.21,1.273,0.8846153846153847
2019-11-08,283.13,9.14,9.85,13.49,13.79,1.131,0.9230769230769231
2019-11-07,284.37,8.15,10.79,13.53,13.78,0.924,0.8623188405797101
2019-11-06,284.52,8.4,10.75,13.65,13.89,0.678,0.881118881118881
2019-11-05,284.38,7.85,10.55,13.16,13.42,0.758,0.8214285714285714
2019-11-04,282.54,8.57,9.79,13.02,13.32,0.62,0.9534883720930233
2019-11-01,278.43,7.41,10.52,12.94,13.22,0.923,0.8692307692307693
2019-10-31,275.82,7.77,10.7,13.31,13.59,1.078,0.937984496124031
2019-10-30,275.51,8.9,10.22,13.57,13.85,1.46,0.8633093525179856
2019-10-29,277.55,8.55,10.02,13.18,13.48,0.966,0.900763358778626
2019-10-28,277.78,8.97,9.77,13.31,13.64,0.776,0.9765625
2019-10-25,277.07,8.03,10.31,13.07,13.42,1.036,0.8787878787878788
2019-10-24,276.7,7.91,10.1,12.83,13.2,1.044,1.0
2019-10-23,276.23,7.27,10.54,12.86,13.22,1.348,0.9126984126984127
2019-10-22,277.41,8.23,9.65,12.7,13.09,0.675,0.9672131147540984
2019-10-21,273.79,7.78,10.94,13.46,13.84,1.108,0.9548872180451127
2019-10-18,272.81,8.82,10.02,13.37,13.85,1.283,0.9318181818181819
2019-10-17,275.57,8.46,9.6,12.82,13.34,1.111,0.8787878787878788
2019-10-16,276.32,7.48,10.37,12.83,13.27,0.911,0.937984496124031
2019-10-15,274.34,8.59,10.2,13.34,13.8,0.905,1.0
2019-10-14,274.23,8.509968276587427,11.026631030256432,13.939951902668641,14.3,0.836,0.9285714285714286
2019-10-11,271.3,8.786987570791627,11.719773378619733,14.659889398897546,14.84,0.881,0.9788732394366197
2019-10-10,268.8,9.354422678090586,12.450798843241666,15.573413320454568,15.63,1.059,1.063380281690141
2019-10-08,271.36,8.81,12.6,15.4,15.37,0.821,0.8986486486486487
2019-10-07,267.67,10.23,12.79,16.41,16.25,1.297,0.9649122807017543
2019-10-04,267.39,9.51,13.5,16.52,16.31,1.118,0.7499999999999999
2019-10-02,268.55,8.45,13.44,15.95,15.86,1.548,0.7730061349693251
2019-10-01,274.42,8.81,12.03,14.92,14.89,0.797,0.9054054054054054
2019-09-30,273.55,8.48,12.58,15.24,15.15,0.88,0.8552631578947368
2019-09-27,271.33,8.64,12.11,14.93,14.85,1.441,0.8297872340425532
2019-09-26,274.89,8.82,12.28,15.13,15.06,1.023,0.923076923076923
2019-09-25,274.42,8.96,12.86,15.71,15.62,1.198,0.9411764705882353
2019-09-24,277.97,9.32,11.38,14.72,14.69,0.766,0.9784172661870503
2019-09-23,276.65,8.23,12.14,14.73,14.7,0.894,0.9571428571428572
2019-09-20,276.44,9.41,10.25,13.99,14.08,0.857,0.917910447761194
2019-09-19,274.92,8.37,11.42,14.17,14.26,0.805,0.905109489051095
2019-09-18,273.06,9.33,11.3,14.66,14.76,0.975,0.9500000000000001
2019-09-17,271.68,9.22,11.07,14.49,14.63,0.983,0.9078014184397164
2019-09-16,272.02,8.55,11.32,14.25,14.41,1.019,0.8992805755395683
2019-09-11,270.84,8.53,9.93,13.11,13.5,0.735,0.9523809523809524
2019-09-10,268.76,8.8,9.41,12.94,13.43,0.78,0.9668874172185431
2019-09-09,267.4,8.68,11.02,14.03,14.37,0.738,1.0506329113924051
2019-09-06,265.53,9.1,11.06,14.33,14.54,0.926,0.9637681159420289
2019-09-05,264.44,8.57,12.08,14.84,15.07,0.612,0.9793103448275862
2019-09-04,261.69,8.76,13.06,15.78,15.97,0.793,0.943502824858757
2019-09-03,258.25,10.03,12.9,16.35,16.53,1.134,0.8229166666666667
2019-09-02,259.08,10.21,12.18,15.95,16.15,0.922,0.9314285714285715
2019-08-30,259.0,9.73,12.11,15.59,15.75,0.766,0.8765432098765432
2019-08-29,254.31,8.88,14.1,16.72,16.81,1.27,0.8314606741573034
2019-08-28,255.53,9.98,12.9,16.32,16.46,0.905,0.893491124260355
2019-08-27,253.5,9.71,13.35,16.53,16.66,1.137,0.9161676646706588
2019-08-26,252.19,9.88,14.12,17.24,17.33,1.484,0.92090395480226
2019-08-23,256.11,9.21,12.17,15.33,15.55,1.042,0.9166666666666667
2019-08-22,256.28,9.03,11.88,14.99,15.23,1.249,0.9060402684563759
2019-08-21,258.38,9.65,11.32,14.91,15.18,0.95,0.8874172185430464
2019-08-20,258.05,9.09,11.55,14.71,14.99,0.882,0.8366013071895425
2019-08-19,255.11,9.91,12.76,16.18,16.41,1.071,0.9556962025316456
2019-08-16,253.9,9.32,13.98,16.85,17.06,1.365,0.8705882352941177
2019-08-14,254.86,9.15,12.83,15.76,16.09,1.126,0.8896103896103895
2019-08-13,252.83,9.46,14.06,16.95,17.25,1.705,0.7388888888888889
2019-08-12,255.35,9.17,11.7,14.88,15.34,1.295,0.8609271523178809
2019-08-09,254.85,9.225128992632206,12.659664559990746,15.666694839223291,15.91,1.127,0.8954248366013071
2019-08-08,252.4,10.498519494162574,12.341727142693273,16.26592158688952,16.47,1.271,0.9463087248322147
2019-08-07,252.0,11.17,15.8,19.35,19.24,1.728,1.2586206896551724
2019-08-06,253.41,12.77,16.5,20.92,20.62,1.555,0.8833333333333333
2019-08-05,257.19,10.51,16.34,19.45,19.08,2.416,0.7782258064516129
2019-08-02,262.99,9.87,12.45,15.92,16.01,1.806,0.8522727272727272
2019-08-01,265.73,9.88,11.3,15.08,15.22,1.225,0.8848484848484848
2019-07-31,266.34,8.65,12.49,15.22,15.29,1.674,0.9325153374233128
2019-07-30,268.95,8.42,12.26,14.91,14.96,1.179,0.8819875776397514
2019-07-29,267.75,9.74,11.38,15.01,15.08,1.812,0.9736842105263159
2019-07-26,272.25,8.68,11.32,14.26,14.34,1.318,0.8666666666666667
2019-07-25,273.04,9.21,10.47,14.0,14.09,1.196,0.9361702127659575
2019-07-24,273.22,8.07,10.97,13.69,13.75,1.227,0.9541984732824428
2019-07-23,275.92,7.78,10.42,13.07,13.16,0.791,0.875968992248062
2019-07-22,274.55,8.33,10.73,13.59,13.67,0.963,0.8970588235294117
2019-07-19,274.55,7.91,10.28,12.98,13.11,0.681,0.8837209302325582
2019-07-18,270.67,9.02,10.28,13.72,13.8,1.319,0.8633093525179856
2019-07-17,271.48,7.19,10.71,12.96,13.04,1.707,0.8320610687022901
2019-07-16,274.05,7.2,10.11,12.45,12.57,1.091,0.8861788617886178
2019-07-15,272.64,8.44,9.7,12.88,13.03,1.229,0.9440000000000001
2019-07-12,272.68,8.14,9.49,12.52,12.81,1.039,0.912
2019-07-11,271.78,8.17,11.08,13.77,13.96,0.71,0.9328358208955224
2019-07-10,268.75,7.95,11.92,14.37,14.63,1.171,0.9101123595505617
2019-07-09,267.72,8.68,11.2,14.17,14.43,1.462,0.7395833333333334
2019-07-08,268.55,7.81,11.88,14.3,14.48,1.91,0.8603351955307263
2019-07-05,274.35,7.85,10.3,12.96,13.16,1.07,0.8484848484848485
2019-07-04,274.54,8.26,9.96,12.94,13.15,0.978,0.9840000000000001
2019-07-03,272.37,8.45,10.33,13.34,13.5,1.632,0.8421052631578947
2019-07-02,275.97,7.85,10.67,13.31,13.41,1.039,0.9606299212598425
2019-07-01,277.27,9.06,10.61,13.96,14.03,1.078,0.9370629370629371
2019-06-28,277.5,9.37,10.97,14.43,14.43,1.015,0.9183673469387755
2019-06-27,277.75,9.51,10.05,13.89,13.94,0.76,1.0378787878787878
2019-06-26,275.53,8.98,10.79,14.04,14.05,1.09,0.9558823529411765
2019-06-25,275.28,8.65,11.09,14.07,14.09,1.016,0.8671328671328671
2019-06-24,275.58,9.01,10.68,13.97,13.99,1.089,0.9411764705882354
2019-06-21,275.48,8.67,10.64,13.73,13.77,1.169,0.9242424242424242
2019-06-20,276.01,9.09,10.11,13.61,13.67,0.852,0.9097744360902255
2019-06-19,275.31,8.65,11.46,14.39,14.4,0.701,0.8175675675675675
2019-06-18,271.36,9.88,10.49,14.47,14.54,0.919,0.9500000000000001
2019-06-17,270.09,9.1,11.43,14.62,14.68,1.03,0.9241379310344828
2019-06-14,270.48,8.51,11.38,14.24,14.4,1.05,0.8053691275167785
2019-06-13,271.13,8.49,11.99,14.76,14.89,1.016,0.6686746987951806
2019-06-12,272.74,8.39,12.07,14.73,14.96,0.996,0.6966292134831461
2019-06-11,273.21,9.54,11.07,14.62,14.85,0.637,0.8787878787878788
2019-06-10,272.1,8.38,12.12,14.82,14.94,0.721,0.7653631284916201
2019-06-07,268.27,9.69,12.48,15.8,15.79,0.854,0.7245508982035929
2019-06-05,267.99,10.17,13.03,16.53,16.46,1.004,0.8902439024390244
2019-06-04,267.66,10.16,14.37,17.62,17.4,1.137,0.776595744680851
2019-06-03,268.16,10.74,13.87,17.54,17.32,0.906,0.8279569892473118
2019-05-31,263.89,11.29,13.42,17.57,17.32,1.101,0.8066298342541436
2019-05-30,263.93,11.01,12.74,16.89,16.67,1.301,0.9440993788819875
